REF_DATE,GEO,DGUID,North American Industry Classification System (NAICS),Enterprise size,Advanced technology acquisition,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,Cl,c,STATUS,DEx
2009,Canada,2016A000011124,"Mining, quarrying, and oil and gas extraction [21",Small enterprises (20 to 99 employees),Lease,Percent,239,units,0,v80736867,1.3.2.2,7.2,B,1
2009,Canada,2016A000011124,"Mining, quarrying, and oil and gas extraction [21",Small enterprises (20 to 99 employees),License,Percent,239,units,0,v80736868,1.3.2.3,26.9,E,1
2009,Canada,2016A000011124,"Mining, quarrying, and oil and gas extraction [21",Small enterprises (20 to 99 employees),Customize,Percent,239,units,0,v80736869,1.3.2.4,5.4,B,1
2009,Canada,2016A000011124,"Mining, quarrying, and oil and gas extraction [21",Small enterprises (20 to 99 employees),Develop,Percent,239,units,0,v80736870,1.3.2.5,21.3,E,1
2009,Canada,2016A000011124,"Mining, quarrying, and oil and gas extraction [21",Small enterprises (20 to 99 employees),Merger or acquisition,Percent,239,units,0,v80736871,1.3.2.6,0.0,A,1
2009,Canada,2016A000011124,"Mining, quarrying, and oil and gas extraction [21",Medium-sized enterprises (100 to 249 employees),Purchase,Percent,239,units,0,v80736872,1.3.3.1,,x,1
2009,Canada,2016A000011124,"Mining, quarrying, and oil and gas extraction [21",Medium-sized enterprises (100 to 249 employees),Lease,Percent,239,units,0,v80736873,1.3.3.2,,x,1
2009,Canada,2016A000011124,"Mining, quarrying, and oil and gas extraction [21",Medium-sized enterprises (100 to 249 employees),License,Percent,239,units,0,v80736874,1.3.3.3,,x,1
2009,Canada,2016A000011124,"Mining, quarrying, and oil and gas extraction [21",Medium-sized enterprises (100 to 249 employees),Customize,Percent,239,units,0,v80736875,1.3.3.4,,x,1
2009,Canada,2016A000011124,"Mining, quarrying, and oil and gas extraction [21",Medium-sized enterprises (100 to 249 employees),Develop,Percent,239,units,0,v80736876,1.3.3.5,,x,1
2009,Canada,2016A000011124,"Mining, quarrying, and oil and gas extraction [21",Medium-sized enterprises (100 to 249 employees),Merger or acquisition,Percent,239,units,0,v80736877,1.3.3.6,,x,1
2009,Canada,2016A000011124,"Mining, quarrying, and oil and gas extraction [21",Large enterprises (250 and more employees),Purchase,Percent,239,units,0,v80736878,1.3.4.1,93.5,B,1
2009,Canada,2016A000011124,"Mining, quarrying, and oil and gas extraction [21",Large enterprises (250 and more employees),Lease,Percent,239,units,0,v80736879,1.3.4.2,,F,1
2009,Canada,2016A000011124,"Mining, quarrying, and oil and gas extraction [21",Large enterprises (250 and more employees),License,Percent,239,units,0,v80736880,1.3.4.3,,F,1
2009,Canada,2016A000011124,"Mining, quarrying, and oil and gas extraction [21",Large enterprises (250 and more employees),Customize,Percent,239,units,0,v80736881,1.3.4.4,27.2,E,1
2009,Canada,2016A000011124,"Mining, quarrying, and oil and gas extraction [21",Large enterprises (250 and more employees),Develop,Percent,239,units,0,v80736882,1.3.4.5,13.6,E,1
2009,Canada,2016A000011124,"Mining, quarrying, and oil and gas extraction [21",Large enterprises (250 and more employees),Merger or acquisition,Percent,239,units,0,v80736883,1.3.4.6,0.0,A,1
2009,Canada,2016A000011124,Oil and gas extraction [211,Total enterprises,Purchase,Percent,239,units,0,v80736884,1.4.1.1,74.1,E,1
2009,Canada,2016A000011124,Oil and gas extraction [211,Total enterprises,Lease,Percent,239,units,0,v80736885,1.4.1.2,40.1,E,1
2009,Canada,2016A000011124,Oil and gas extraction [211,Total enterprises,License,Percent,239,units,0,v80736886,1.4.1.3,18.5,E,1
2009,Canada,2016A000011124,Oil and gas extraction [211,Total enterprises,Customize,Percent,239,units,0,v80736887,1.4.1.4,25.6,E,1
2009,Canada,2016A000011124,Oil and gas extraction [211,Total enterprises,Develop,Percent,239,units,0,v80736888,1.4.1.5,23.7,E,1
2009,Canada,2016A000011124,Oil and gas extraction [211,Total enterprises,Merger or acquisition,Percent,239,units,0,v80736889,1.4.1.6,0.0,A,1
2009,Canada,2016A000011124,Oil and gas extraction [211,Small enterprises (20 to 99 employees),Purchase,Percent,239,units,0,v80736890,1.4.2.1,64.3,E,1
2009,Canada,2016A000011124,Oil and gas extraction [211,Small enterprises (20 to 99 employees),Lease,Percent,239,units,0,v80736891,1.4.2.2,35.7,E,1
