received_date,Auth_Description,Op_Name,Short Notice Short Notice,Description,Variation Number Variation Number,Service_Type_Other_Details
26/04/04,Dundee City Council,TAYSIDE PUBLIC TRANSPORT CO LTD,No,Standard National,2,This service will not operate on 25 Dec 1 Jan Sunday service on 26 Dec 2 Jan Curtailed services between 27 Dec & 5th Jan and on similar dates in subsequent years
27/03/20,Angus Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,3,"Service suspended due to COVID 19

(Service prior was:Revised timetable)"
02/06/17,Strathclyde Partnership for Transport,MCGILL'S BUS SERVICE LTD,No,Standard National,0,Monday to Sunday
13/08/20,Argyll & Bute Council,CRAIG OF CAMPBELTOWN LTD,Yes,Standard International,4,"Monday to Saturday
Timetable varied due to Covid 19
Temporary variation - Covid 19"
,,JOHN ANTONY AITKEN,No,Standard National,0,
19/02/07,Perth & Kinross Council,BLUEBIRD BUSES LIMITED,No,Standard International,5,
15/04/20,Stirling Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,7,TEMPORARY VARIATION - COVID 19
30/08/18,Dundee City Council,PARKS OF HAMILTON (COACH HIRERS) LTD,No,Standard International,7,Daily
09/05/16,Strathclyde Partnership for Transport,MCGILL'S BUS SERVICE LTD,Yes,Standard National,0,Daily
11/03/10,Strathclyde Partnership for Transport,MCGILL'S BUS SERVICE LTD,No,Standard National,1,Monday to Sunday - every 30 minutes
23/05/03,Scottish Borders Council,MIDLAND BLUEBIRD LTD,No,Standard National,4,"No service: 25 December & 1 January.
Sunday service: 26 December & 2 January."
06/07/18,The City of Edinburgh Council,WESTERN BUSES LIMITED,No,Standard International,10,"Contract Awarded with timetable revision, still including diversion excluding Mauricewood Road until works are complete."
24/03/03,Highland Council,SCOTTISH CITYLINK COACHES LTD,No,Standard National,3,
28/01/13,The City of Edinburgh Council,FIFE SCOTTISH OMNIBUSES LTD,No,Standard International,4,Revised timetable: 0720 and 2300 journeys from Edinburgh retimed
